Kecamatan;Desa
Besuki;Besole
Besuki;Besuki
Besuki;Keboireng
Besuki;Sedayugunung
Besuki;Siyotobagus
Besuki;Tanggulkundung
Besuki;Tanggulturus
Besuki;Tanggulwelahan
Besuki;Tulungrejo
Besuki;Wates Kroyo
Bandung;Bandung
Bandung;Bantengan
Bandung;Bulus
Bandung;Gandong
Bandung;Kedungwilut
Bandung;Kesambi
Bandung;Mergayu
Bandung;Ngepeh
Bandung;Nglampir
Bandung;Ngunggahan
Bandung;Sebalor
Bandung;Singgit
Bandung;Soko
Bandung;Sukoharjo
Bandung;Suruhan Kidul
Bandung;Suruhan Lor
Bandung;Suwaru
Bandung;Talun Kulon
